block_id	defect_class	bad_form	fixed_form	severity	promote_target	notes
manual-review		Šių gairių rengėjai dėjo visas pastangas, kad leidimo paskelbimo metu jose pateikta informacija, lentelės, brėžiniai ir schemos būtų tikslūs. Vis dėlto šios gairės yra konsultacinio pobūdžio ir parengtos tam, kad padėtų sveikatos priežiūros specialistams ir pacientams priimti sprendimus dėl paciento sveikatos priežiūros, įskaitant gydymą. Šios rekomendacijos skirtos paremti sprendimų priėmimą, tačiau jos nepakeičia tinkamo klinikinio sprendimo. Gairėse ne visada gali būti visa informacija, reikalinga konkrečiai priežiūrai parinkti, ir jos negali apimti visų individualių situacijų, todėl jomis besinaudojantys asmenys turi turėti pakankamai žinių ir įgūdžių tinkamai jas interpretuoti.	Šių gairių rengėjai dėjo visas pastangas, kad jų paskelbimo metu jose pateikta informacija, lentelės, brėžiniai ir schemos būtų tikslūs. Vis dėlto gairės yra konsultacinio pobūdžio. Jos parengtos tam, kad padėtų sveikatos priežiūros specialistams ir pacientams priimti sprendimus dėl paciento sveikatos priežiūros, įskaitant gydymą. Šios rekomendacijos skirtos padėti priimti sprendimus, tačiau jos nepakeičia pagrįsto klinikinio sprendimo. Gairėse ne visada gali būti pateikta visa informacija, reikalinga tinkamai priežiūrai parinkti, ir jos negali apimti visų individualių situacijų, todėl jomis besinaudojantys asmenys turi turėti pakankamai žinių ir įgūdžių, kad galėtų jas tinkamai interpretuoti.			
manual-review		Naudojant spausdintą leidimą visada reikia atsižvelgti į tai, kad po jo paskelbimo atsiradę pakeitimai jame gali neatsispindėti.	Naudojantis spausdintu leidimu visada reikia turėti omenyje, kad po jo paskelbimo atsiradę pakeitimai jame negali būti atspindėti.			
manual-review		Šių gairių rengėjai negarantuoja ir neprisiima jokios teisinės atsakomybės už šių gairių turinio tikslumą, patikimumą, aktualumą ar išsamumą.	Šių gairių rengėjai negarantuoja šių gairių turinio tikslumo, patikimumo, aktualumo ar išsamumo ir neprisiima jokios su tuo susijusios teisinės atsakomybės.			
manual-review		Nors kai kuriais atvejais gairės gali būti koreguojamos pagal vietos paslaugų teikėjo poreikius, visi klinikiniai darbuotojai turi veikti pagal savo kompetencijos ribas ir patys atsako už savo klinikinę praktiką. Dėl ikistacionarinės priežiūros pobūdžio tam tikrose situacijose gali prireikti nukrypti nuo šiose gairėse aprašytos įprastos klinikinės praktikos. Bet koks toks nukrypimas ir jo priežastis visada turi būti aiškiai užfiksuoti paciento priežiūros dokumentuose.	Nors tam tikrais atvejais gaires gali reikėti pritaikyti prie vietos paslaugų teikimo poreikių, dauguma jose išdėstytų principų išlieka plačiai pritaikomi. Visi klinikiniai darbuotojai turi veikti pagal savo parengties ir kompetencijos ribas, o registruoti sveikatos priežiūros specialistai patys atsako už savo klinikinę praktiką. Šios gairės skirtos klinikinei praktikai paremti. Kai kuriomis aplinkybėmis, ypač dėl ikistacionarinės pagalbos pobūdžio ir sutinkamų situacijų, gali reikėti nukrypti nuo šiose gairėse aprašytos įprastos klinikinės praktikos. Bet koks nukrypimas nuo įprastos praktikos ir jo priežastis visada turi būti užfiksuoti paciento priežiūros dokumentuose.			
manual-review		Gairių rengėjai pripažįsta mokslinių tyrimų naudą ir remia inovacijų diegimą, mokslinių tyrimų vykdymą bei taikymą siekiant gerinti dabartinę ir būsimą pacientų priežiūrą. Moksliniai tyrimai gali sudaryti sąlygas pacientams anksčiau gauti naujus gydymo metodus ir technologijas. Paramedikai gali dalyvauti moksliniuose tyrimuose kaip savo klinikinės praktikos dalyje ir įtraukti pacientus į tyrimų veiklas. Dalyvaujant mokslo tyrime, kurį yra patvirtinęs mokslinių tyrimų etikos komitetas, gali būti taikomi nuo gairių besiskiriantys sprendimai.	Gairių rengėjai pripažįsta mokslinių tyrimų naudą ir palaiko inovacijų diegimą, taip pat mokslinių tyrimų skatinimą, vykdymą ir taikymą siekiant gerinti dabartinę ir būsimą pacientų sveikatos priežiūrą. Tyrimai gali sudaryti galimybę pacientams anksčiau gauti naujus gydymo metodus ir technologijas. Paramedikai gali dalyvauti moksliniuose tyrimuose kaip savo klinikinės praktikos dalyje ir įtraukti pacientus į tyrimų veiklas.			
manual-review		Šiose gairėse ginekologinių ir su nėštumu susijusių būklių kontekste vartojami žodžiai woman, women ir mother. Originalo rengėjai pažymi, kad ši vartosena neatspindi visos pacientų įvairovės, įskaitant pacientus, kurie save tapatina kaip nebinarinės tapatybės ar translyčius asmenis, ir įsipareigoja toliau peržiūrėti kalbą, kad ji būtų kuo įtraukesnė. Klinicistai raginami apgalvoti, kokius žodžius vartoja vertindami pacientus, ir vengti klaidingų išvadų vien iš numanomos su lytimi susijusios diagnozės.	Dalyvaujant moksliniame tyrime, kuriam yra pritaręs mokslinių tyrimų etikos komitetas, gali būti taikomi nuo šių gairių besiskiriantys sprendimai.			
manual-review		Skiltyje Further Resources pateikiamos nuorodos į trečiųjų šalių valdomas svetaines. Šios nuorodos pateikiamos tik informaciniais tikslais, o už jose esantį turinį šių gairių rengėjai neatsako.	Nors šios gairės apima įvairias paramedikų taikomas intervencijas, jos gali būti naudingos ir platesniam priežiūros teikėjų ratui. Daugelis vertinimo įgūdžių ir bendrųjų principų išlieka tie patys.			
manual-review		Originale aiškiai nurodoma, kad gairėse remiamasi NICE, o jų dauguma skirta NHS ambulance services kontekstui. Šie proper noun ir jų taikymo logika šiame vertime turi būti suprantami tik kaip originalo leidinio kontekstas, o ne kaip Lietuvos norminis standartas.	Visose šiose gairėse ginekologinių ir su nėštumu susijusių būklių kontekste vartojami žodžiai woman, women ir mother, kai kalbama apie pacientus, kuriuos GMP medikams gali tekti vertinti ir gydyti. Rengėjai pripažįsta, kad tokia vartosena neatspindi visos pacientų įvairovės, įskaitant nebinarinės tapatybės ar translyčius asmenis, ir įsipareigoja toliau peržiūrėti gairėse vartojamą kalbą, kad ji būtų kuo įtraukesnė. Medikai raginami apgalvoti, kokius terminus vartoja vertindami visus pacientus, ir vengti klaidingų diagnostinių išvadų, grindžiamų numanoma lytimi.			
manual-review		Originale taip pat pažymima, kad naujausia šių gairių versija skelbiama JRCALC apps, todėl tai laikoma originalo leidinio prieigos pastaba.	Skiltyje Further Resources pateikiamos nuorodos į trečiųjų šalių valdomas svetaines. Jos pateikiamos tik informaciniais tikslais, o už jose esantį turinį šių gairių rengėjai neatsako.			
manual-review			Originale aiškiai nurodoma, kad šiose gairėse remiamasi NICE. Originalo rengėjai pažymi, kad NICE gairės rengiamos National Health Service in England sistemai, yra reguliariai peržiūrimos ir gali būti atnaujinamos arba atšaukiamos. Taip pat nurodoma, kad NICE nėra patikrinusi, ar jos turinys šiame leidinyje atspindėtas tiksliai.			
manual-review			Originale taip pat nurodoma, kad atskiros greitosios pagalbos tarnybos gali koreguoti gaires pagal vietos bendruomenių sveikatos poreikius, gavus atitinkamų vietinių klinikinių komitetų pritarimą, o dauguma gairių laikomos universaliai taikytinomis NHS ambulance services kontekste. Ši institucinio taikymo logika šiame vertime rodoma tik kaip JK leidinio kontekstas, o ne kaip Lietuvos norminis standartas.			
manual-review			Originale dar pažymima, kad naujinimai skelbiami JRCALC apps, kur visada pateikiamas aktualiausias turinys.			
